	logFC	logCPM	PValue	FDR
Tnfrsf18	-11.33349031	5.220098541	0	0
Eno1b	3.593033993	6.585318958	3.70E-163	1.88E-159
Mid1	-3.56198282	5.544619101	4.66E-72	1.59E-68
Gm5801	3.885244199	2.059432245	3.77E-65	9.61E-62
Mxra8	3.204219791	2.146431209	8.37E-52	1.71E-48
Mmel1	5.664026244	0.115399273	5.62E-36	9.56E-33
Kcnf1	8.179267017	1.676848269	9.33E-31	1.36E-27
BC002163	3.80288871	2.168543784	4.79E-24	6.11E-21
Hormad2	2.974375517	1.471134181	1.57E-20	1.78E-17
Tnfrsf4	-1.303419025	4.946832818	3.54E-20	3.31E-17
Dhrs3	1.921124843	4.05734928	3.58E-20	3.31E-17
Hes5	3.444820273	1.133154762	3.19E-19	2.71E-16
Mib2	-1.07380631	3.95877286	7.88E-15	6.18E-12
Tnfrsf14	1.012283215	6.709995651	9.68E-15	7.05E-12
Farp1	1.18530847	4.76391273	3.57E-13	2.43E-10
Fam213b	1.723024926	1.83743669	1.09E-12	6.93E-10
Rps19-ps3	2.169564122	0.341214155	2.84E-12	1.70E-09
Wdtc1	0.988495816	5.773175331	8.61E-12	4.88E-09
Cep83os	-1.402507351	2.673010951	2.72E-11	1.46E-08
Rell1	-0.874904116	3.928317129	3.42E-11	1.74E-08
Clstn1	0.850265259	5.587903511	4.27E-11	2.07E-08
Spsb1	1.772708919	1.949557147	2.04E-10	9.47E-08
Kif1b	1.416698082	6.777204187	7.30E-10	3.24E-07
Prdm16	-1.566422897	1.767587411	8.64E-10	3.67E-07
C130046K22Rik	-1.132132837	2.397480332	1.38E-09	5.64E-07
Dusp4	1.103657202	3.915141257	1.70E-09	6.65E-07
Ccl5	0.913878773	3.971573501	2.58E-09	9.74E-07
Ubiad1	0.833114364	4.330896785	1.22E-08	4.44E-06
Ubxn11	1.308893183	4.535074343	1.37E-08	4.83E-06
Znf41-ps	-1.35260887	2.198645263	1.74E-08	5.90E-06
Sytl1	1.606841642	3.730844891	2.41E-08	7.92E-06
Dnajc6	-1.126471128	1.491577701	3.27E-08	1.04E-05
Pank4	0.59958251	6.451973279	5.98E-08	1.85E-05
Dhrs7	-0.941327947	4.652828486	1.69E-07	5.07E-05
Klhdc2	0.507554397	6.429360019	3.49E-06	0.001016868
Nmnat1	0.794187343	2.408908295	7.35E-06	0.002083101
9430015G10Rik	0.594939152	4.127048895	1.04E-05	0.002877628
Slc22a15	0.667404869	4.065812864	1.09E-05	0.002933663
Wrn	-0.506486334	6.194693506	1.36E-05	0.003557438
Abcb1a	-0.530244858	4.819458444	1.65E-05	0.004207793
Ubc	0.543183631	7.857601378	1.79E-05	0.004445876
Rsad2	-0.516801128	7.375694251	1.94E-05	0.004719314
5830416I19Rik	-2.455071836	0.759111613	2.89E-05	0.006858585
Oas1g	0.735289644	3.512919478	3.02E-05	0.006991473
Acpp	0.845700512	1.783035193	3.54E-05	0.008019041
Itga9	0.793230878	1.929455314	4.19E-05	0.009291811
Ildr1	1.130234661	0.390125836	4.49E-05	0.009737284
Ctla2a	-0.836519516	3.841625223	4.86E-05	0.010328949
Asah2	-0.645168683	3.220687935	5.60E-05	0.011653879
Slc15a2	1.447769737	4.409473697	5.91E-05	0.012054892
Jup	0.78334549	1.975780399	6.04E-05	0.012079789
Dennd4a	-0.552927424	4.669460152	8.17E-05	0.016024276
Atp2b4	-0.464234681	7.314967465	8.33E-05	0.016027069
Gm7609	-1.09645553	1.196737484	9.58E-05	0.018098743
Enpp4	-0.700579532	3.362949966	0.000101947	0.018676938
Arhgap27os3	0.520009776	5.369921146	0.00010257	0.018676938
Kcnab2	-0.413150964	8.433684254	0.00011756	0.020784269
B3galt6	-0.659320973	2.439777507	0.00011822	0.020784269
Atp9a	0.622942591	4.007379113	0.000142724	0.024667066
1700001L05Rik	-0.886532394	0.985336679	0.000149837	0.025464882
Tex15	-1.284978091	0.291265392	0.000152973	0.025571505
Ctla2b	-0.812612224	2.681305753	0.000163897	0.026955749
Smoc1	1.537083024	0.463130157	0.000168613	0.02729129
Hexim2	0.776717164	1.644371119	0.000171793	0.027371397
Per3	0.95344003	0.568365982	0.000185931	0.02916823
